2025-04-01 09:57:14,293 - INFO - System Monitor: Starting system monitoring...
2025-04-01 09:57:14,296 - INFO - CPU: Usage: 0.0%
2025-04-01 09:57:14,296 - INFO - Memory: Usage: 44.4%
2025-04-01 09:57:14,366 - INFO - System Info: Hostname: 10PC324
2025-04-01 09:57:14,367 - INFO - System Info: Operating System: Windows 10
2025-04-01 09:57:14,411 - INFO - Software: PID: 2312, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,411 - INFO - Software: PID: 2320, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,412 - INFO - Software: PID: 2380, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,412 - INFO - Software: PID: 2388, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,413 - INFO - Software: PID: 2404, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,413 - INFO - Software: PID: 2480, Name: python.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,414 - INFO - Software: PID: 2488, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,414 - INFO - Software: PID: 2548, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,415 - INFO - Software: PID: 2556, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,416 - INFO - Software: PID: 2568, Name: WINWORD.EXE, Username; 10PC324\Administrator
2025-04-01 09:57:14,417 - INFO - Software: PID: 2620, Name: MemCompression, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,417 - INFO - Software: PID: 2640, Name: svchost.exe, Username; NT AUTHORITY\NETWORK SERVICE
2025-04-01 09:57:14,418 - INFO - Software: PID: 2652, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,418 - INFO - Software: PID: 2676, Name: Code.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,419 - INFO - Software: PID: 2712, Name: PciHooksApp64.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,419 - INFO - Software: PID: 2764, Name: chrome.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,420 - INFO - Software: PID: 2800, Name: svchost.exe, Username; NT AUTHORITY\NETWORK SERVICE
2025-04-01 09:57:14,420 - INFO - Software: PID: 2824, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,421 - INFO - Software: PID: 2844, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,422 - INFO - Software: PID: 2876, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,422 - INFO - Software: PID: 2936, Name: dllhost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,423 - INFO - Software: PID: 3084, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,425 - INFO - Software: PID: 3152, Name: SecurityHealthService.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,425 - INFO - Software: PID: 3160, Name: NVDisplay.Container.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,426 - INFO - Software: PID: 3176, Name: chrome.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,427 - INFO - Software: PID: 3212, Name: chrome.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,427 - INFO - Software: PID: 3324, Name: chrome.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,428 - INFO - Software: PID: 3612, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,428 - INFO - Software: PID: 3616, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,429 - INFO - Software: PID: 3664, Name: spoolsv.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,429 - INFO - Software: PID: 3744, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,430 - INFO - Software: PID: 3764, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,430 - INFO - Software: PID: 3808, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,431 - INFO - Software: PID: 3944, Name: dasHost.exe, Username; NT AUTHORITY\LOCAL SERVICE
